sp.ID time endTime t.ID station_european_code PM10 x y 
AT0ENK1 2005-06-01 2005-06-02 5266 AT0ENK1 14 13.6711140000000050 48.3916700023180510
AT30202 2005-06-01 2005-06-02 5266 AT30202 9.7 15.9194479999999960 48.1061100022927660
AT4S108 2005-06-01 2005-06-02 5266 AT4S108 7.8 14.5747279999999930 48.5311130023277780
AT30502 2005-06-01 2005-06-02 5266 AT30502 21.9 15.0466789999999970 48.8786090023445470
AT30603 2005-06-01 2005-06-02 5266 AT30603 11.2 16.4333319999999960 48.0861090022907260
AT0ILL1 2005-06-01 2005-06-02 5266 AT0ILL1 9 16.7664029999999930 47.7700000022536810
AT60182 2005-06-01 2005-06-02 5266 AT60182 11 14.2436199999999980 47.5672230022251770
AT60156 2005-06-01 2005-06-02 5266 AT60156 6.1 15.8819579999999920 47.3480530021901700
AT10002 2005-06-01 2005-06-02 5266 AT10002 7.4 16.1930640000000030 47.3041650021826640
AT11002 2005-06-01 2005-06-02 5266 AT11002 7.4 16.1931951495004260 47.3042350123343380
AT0PIL1 2005-06-01 2005-06-02 5266 AT0PIL1 12 15.9422300000000020 48.7211110023382400
AT30102 2005-06-01 2005-06-02 5266 AT30102 23.5 14.5627889999999990 48.2266650023043230
AT30302 2005-06-01 2005-06-02 5266 AT30302 12.6 16.6766740000000060 48.0508310022870120
AT0VOR1 2005-06-01 2005-06-02 5266 AT0VOR1 4 12.9719470000000050 46.6797220020564230
AT0ZOE2 2005-06-01 2005-06-02 5266 AT0ZOE2 8 14.4413949999999930 47.8386120022624790
BELHR01 2005-06-01 2005-06-02 5266 BELHR01 32 4.0160560000000007 50.7270000022606030
BETN016 2005-06-01 2005-06-02 5266 BETN016 20 5.1639780000000011 51.2336530021889090
BETN054 2005-06-01 2005-06-02 5266 BETN054 26 5.1031580000000023 50.7117060022624810
BETN012 2005-06-01 2005-06-02 5266 BETN012 25 3.3625329999999991 51.2545720021855050
BETN029 2005-06-01 2005-06-02 5266 BETN029 26 2.5823220000000040 51.0162780022221510
CH0051A 2005-06-01 2005-06-02 5266 CH0051A 17.2 6.0051889999999961 46.1625520019248300
CH0004R 2005-06-01 2005-06-02 5266 CH0004R 12.6 6.9792029999999992 47.0494690021354880
CH0033A 2005-06-01 2005-06-02 5266 CH0033A 16.1 8.9339420000000000 46.1603700019242280
CH0002R 2005-06-01 2005-06-02 5266 CH0002R 13.6 6.9444690000000007 46.8130570020863890
CH0005R 2005-06-01 2005-06-02 5266 CH0005R 13.2 8.4633390000000066 47.0674060021389740
