plant_id,company_id,parentcomp_id,name,carbon_2000,carbon_2007,carbon_nextdecade,energy_2000,energy_2007,energy_nextdecade,intensity_2000,intensity_2007,intensity_nextdecade,continent,country,iso3,state,city_name,metroarea,county,congdist,zip,latitude,longitude
"20075","VATTENFALL EUROPE AG","0","JANSCHWALDE","26800000.0000","27400000.0000","27600000.0000","25200000.0000","25800000.0000","26000000.0000","2128.1799","2123.5400","2122.3650","Europe","Germany","DEU","Brandenburg","Peitz","","","","0","51.83248","14.45305"
"14153","RWE POWER AG","0","FRIMMERSDORF","23800000.0000","24100000.0000","24200000.0000","21000000.0000","21200000.0000","21300000.0000","2274.8501","2272.1880","2271.5681","Europe","Germany","DEU","Nordrhein-Westfalen","Grevenbroich","","","","0","51.0547","6.575827"
"31142","RWE POWER AG","0","NIEDERAUSSEM","23000000.0000","30400000.0000","30600000.0000","21300000.0000","29600000.0000","29800000.0000","2159.2051","2056.1201","2055.0669","Europe","Germany","DEU","Nordrhein-Westfalen","Bergheim","","","","0","50.99228","6.668831"
"30912","RWE POWER AG","0","NEURATH","21800000.0000","22200000.0000","37100000.0000","19200000.0000","19500000.0000","36300000.0000","2276.6130","2273.6560","2041.8800","Europe","Germany","DEU","Nordrhein-Westfalen","Grevenbroich","","","","0","51.0378","6.615766"
"49187","RWE POWER AG","0","WEISWEILER","21600000.0000","22000000.0000","22200000.0000","19100000.0000","19600000.0000","19800000.0000","2265.3149","2250.5520","2242.7100","Europe","Germany","DEU","Nordrhein-Westfalen","Eschweiler","","","","0","50.83805","6.313576"
"5476","VATTENFALL EUROPE AG","0","BOXBERG","17200000.0000","17500000.0000","23100000.0000","16200000.0000","16500000.0000","22700000.0000","2122.5139","2118.6169","2031.9080","Europe","Germany","DEU","Sachsen","Boxberg","","","","0","51.41926","14.57686"
"25377","VATTENFALL EUROPE AG","0","LIPPENDORF","13400000.0000","13800000.0000","14100000.0000","13700000.0000","14200000.0000","14400000.0000","1958.5601","1952.6580","1949.9780","Europe","Germany","DEU","Sachsen","Bohlen","","","","0","51.2","12.38333"
"40153","E.ON KRAFTWERKE GMBH","0","SCHOLVEN","12100000.0000","12500000.0000","19600000.0000","11200000.0000","11500000.0000","19500000.0000","2165.0210","2159.6770","2008.3900","Europe","Germany","DEU","Nordrhein-Westfalen","Gelsenkirchen","","","","0","51.51","7.11"
"40231","VATTENFALL EUROPE AG","0","SCHWARZE PUMPE","11500000.0000","11900000.0000","12000000.0000","11600000.0000","12000000.0000","12200000.0000","1986.4170","1980.7650","1978.3900","Europe","Germany","DEU","Sachsen","Schwarze Pumpe","","","","0","51.53333","14.35"
"15201","GROSSKRAFTWERK MANNHEIM AG","0","GKM","9368701.0000","9624647.0000","16800000.0000","8439720.0000","8692199.0000","16500000.0000","2220.1450","2214.5481","2029.7430","Europe","Germany","DEU","Baden-Wurttemberg","Mannheim","","","","0","49.5","8.47"
"43107","E.ON KRAFTWERKE GMBH","0","STAUDINGER","7955466.0000","8172243.0000","16700000.0000","7610131.0000","7840923.0000","17100000.0000","2090.7571","2084.5100","1944.4130","Europe","Germany","DEU","Hessen","Grosskrotzenburg","","","","0","50.08333","8.983334"
"48464","RWE POWER AG","0","VOERDE","7918326.0000","8143839.0000","8232319.0000","6716172.0000","6925637.0000","7007971.0000","2357.9880","2351.7949","2349.4160","Europe","Germany","DEU","Nordrhein-Westfalen","Voerde","","","","0","51.6","6.68"
"17333","ENBW ENERGIE BADEN-WURTTEMBERG","0","HEILBRONN","7702803.0000","7908937.0000","8603372.0000","6516508.0000","6707469.0000","7970593.0000","2364.0891","2358.2480","2158.7791","Europe","Germany","DEU","Baden-Wurttemberg","Heilbronn","","","","0","49.14028","9.22"
